Ort,Lat,Long
Augsburg,48.3585,10.8613
Bad Honnef,50.6458,7.2238
Berlin,52.5072,13.4248
Bielefeld,52.0149,8.5206
Bochum,51.4710,7.2257
Bonn,50.7036,7.1166
Bremen,53.0635,8.8687
Cottbus,51.7785,14.3873
Donauwörth,48.7195,10.7684
Dresden,51.0764,13.7727
Düsseldorf,51.2386,6.8143
Essen,51.4410,7.0158
Frankfurt (Main),50.1214,8.6366
Groß Köris,52.1558,13.6843
Halle (Saale),51.4729,11.9722
Hamburg,53.5566513,9.9874367
Hannover,52.3798,9.7614
Karlsruhe,49.0159,8.4095
Köln,50.9579,6.9673
Landau a.d. Isar,48.6560,12.7090
Löhne,52.2009,8.7263
Lüneburg,53.2392,10.4226
Mainz,49.9655,8.2427
München,48.1550,11.5418
Münster,51.9567,7.6214
Nürtingen,48.6165,9.3485
Nürnberg,49.4362,11.1357
Paderborn,51.7191,8.7730
Potsdam,52.4284,13.0275
Saarbrücken,49.2472,6.9828
Sankt Augustin,50.7700,7.1855
Stuttgart,48.7793,9.1773
